Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,0.98,66,refugee,,,integer,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0,1,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.99,199,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.01,2,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0,1,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.98,197,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.02,4,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.01,2,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.98,197,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.01,3,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,a_lot_of_difficulty,0,1,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,1,201,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,a_lot_of_difficulty,0,1,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,no_difficulty,0.99,200,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,some_difficulty,0,1,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,a_lot_of_difficulty,0,1,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,no_difficulty,0.99,200,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,some_difficulty,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,dk,0.04,8,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,dwta,0.01,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_spring,0.01,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_well,0.01,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,river,0.62,120,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_spring,0.07,13,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_well,0.01,2,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,water_trucking,0.24,46,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,dk,0.01,2,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_spring,0.02,3,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_well,0.01,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,river,0.63,121,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_spring,0.09,17,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_well,0.01,2,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,water_trucking,0.24,46,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,elsewhere,0.05,10,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,in_own_dwelling,0.01,3,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,in_own_yard_plot,0.04,9,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,outside_the_kebele,0.68,138,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,within_kebele,0.21,42,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,above_31minutes,0.29,56,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,below_5minutes,0.02,4,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_16_and_30_minutes,0.48,93,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_5_and_15_minutes,0.18,36,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,dk,0.03,6,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,above_31minutes,0.37,73,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,below_5minutes,0.01,1,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_16_and_30_minutes,0.44,86,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_5_and_15_minutes,0.14,28,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,dk,0.04,7,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,community,0.95,192,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,dk,0,1,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,dwta,0.01,2,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,formalised_water_provider,0.02,5,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,health_facility,0.01,2,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,dk,0,1,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,no,0.26,52,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,partially,0,1,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,unable_to_confirm,0,1,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,yes,0.73,147,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_due_to_normal_usage,0.44,23,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_during_confilict,0.04,2,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_during_flooding,0.42,22,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,dk,0.08,4,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,dwta,0.02,1,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,0_to_1month,0.17,9,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,2_to_3months,0.06,3,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,4_to_6months,0.25,13,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,6_monthsor_more,0.53,28,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dk,0.03,6,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dwta,0.02,3,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,none_hh_access_water,0.15,29,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,not_allowed_to_access_water,0.01,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_at_the_source_isnot_clean,0.43,85,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_economic,0.01,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_idp,0.01,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_distance,0.06,12,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_waiting_times,0.1,19,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_violence,0.01,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_not_producing_water,0.03,5,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_physically_damaged,0.14,27,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_under_maintenance,0.03,6,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,dk,0.01,2,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,no,0.35,70,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,yes,0.64,130,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,dk,0.01,3,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,no,0.96,193,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,yes,0.03,6,refugee,,,select_one,Household
How many jerrycan (10L) are you allowed to get for your household in a day?,num_jerrycan_allowed,num_jerrycan_allowed,34.67,6,refugee,,,integer,Household
Do you or your household pay for water?,hh_water_payment,dk,0.01,3,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,no,0.92,186,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,yes,0.06,13,refugee,,,select_one,Household
"If yes, how much on average do you spend on water, per month?",hh_water_payment_amount,hh_water_payment_amount,1007.85,13,refugee,,,integer,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,no,0.95,191,refugee,,,select_one,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,yes,0.05,11,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,dwta,0.01,3,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,not_informed,0.02,5,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,somewhat_informed,0.16,33,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,well_informed,0.8,161,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_hh,0.36,72,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_idp,0.02,5,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_affordability_of_water,0.07,14,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_availability_of_water,0.38,77,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_functionality_ws,0.1,21,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_quality_of_water,0.06,13,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_accessibilty_for_hh,0.13,27,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_accessibilty_for_idp,0.07,15,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_affordability_of_water,0.27,54,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_availability_of_water,0.29,59,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_functionality_ws,0.05,10,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_quality_of_water,0.18,37,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_hh,0.14,28,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_idp,0.03,6,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_affordability_of_water,0.12,25,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_availability_of_water,0.27,55,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_functionality_ws,0.1,20,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_quality_of_water,0.34,68,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,dwta,0.02,3,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,no,0.07,13,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_full_functional,0.55,97,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_partial_functional,0.36,64,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,dwta,0.02,3,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,far_from_the_kebele_outside_woreda,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,far_from_the_kebele_within_woreda,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,outside_the_kebele,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,within_the_kebele,0.97,171,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,1hour_to_half_day,0.05,8,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,30_minutes_1hour,0.31,54,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,dwta,0.01,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,less_than_30_minutes,0.64,114,refugee,,,select_one,Household
Who owns this health facility ?,health_post_owner,community,0.29,52,refugee,,,select_one,Household
Who owns this health facility ?,health_post_owner,govt,0.71,125,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_full_functional,0.41,12,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_partial_functional,0.59,17,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_in_zonal_town,0.03,1,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_within_woreda,0.03,1,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,outside_the_kebele,0.03,1,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,within_the_kebele,0.9,26,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,1hour_to_half_day,0.1,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,30_minutes_1hour,0.17,5,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,dk,0.03,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,less_than_30_minutes,0.69,20,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,community,0.28,8,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,govt,0.72,21,refugee,,,select_one,Household
Are any services currently operating from this facility (pharmacy)?,operating_pharmacy,yes_partial_functional,1,5,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,within_the_kebele,1,5,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,30_minutes_1hour,0.2,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,less_than_30_minutes,0.8,4,refugee,,,select_one,Household
Who owns this health facility ?,pharmacy_owner,govt,1,5,refugee,,,select_one,Household
Are any services currently operating from this facility?,operating_dispensary,yes_full_functional,0.78,7,refugee,,,select_one,Household
Are any services currently operating from this facility?,operating_dispensary,yes_partial_functional,0.22,2,refugee,,,select_one,Household
Where is this health facility located?,dispensary_location,within_the_kebele,1,9,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,30_minutes_1hour,0.33,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,dk,0.11,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,less_than_30_minutes,0.56,5,refugee,,,select_one,Household
Who owns this health facility ?,dispensary_owner,community,0.22,2,refugee,,,select_one,Household
Who owns this health facility ?,dispensary_owner,govt,0.78,7,refugee,,,select_one,Household
Is there an ambulance service accessible to households during emergency in your kebele?,ambulance_service_accessible,no,0.38,76,refugee,,,select_one,Household
Is there an ambulance service accessible to households during emergency in your kebele?,ambulance_service_accessible,yes,0.62,126,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,dk,0.01,2,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,no,0.31,63,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,yes,0.68,137,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,no,0.28,39,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,partially,0.36,50,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,yes,0.36,50,refugee,,,select_one,Household
"Were you, or they, able to reach to the facility in order to request care?",services_able_to_access,no,0.26,32,refugee,,,select_one,Household
"Were you, or they, able to reach to the facility in order to request care?",services_able_to_access,yes,0.74,90,refugee,,,select_one,Household
Have you or any members of your household had to pay for healthcare in the last 12 months,hh_healthcare_pay,dk,0,1,refugee,,,select_one,Household
Have you or any members of your household had to pay for healthcare in the last 12 months,hh_healthcare_pay,dwta,0.01,2,refugee,,,select_one,Household
Have you or any members of your household had to pay for healthcare in the last 12 months,hh_healthcare_pay,no,0.31,63,refugee,,,select_one,Household
Have you or any members of your household had to pay for healthcare in the last 12 months,hh_healthcare_pay,yes,0.67,136,refugee,,,select_one,Household
How did you and the members of your household pay for healthcare the last time you accessed healthcare services?,hh_payment_modality,cbhi,0.2,28,refugee,,,select_one,Household
How did you and the members of your household pay for healthcare the last time you accessed healthcare services?,hh_payment_modality,self_payment,0.8,110,refugee,,,select_one,Household
"If you have had to pay for healthcare, how much did it cost?",healthcare_payment_amount,healthcare_payment_amount,2123.91,110,refugee,,,integer,Household
Is your household a beneficiary of community based health insurance (CBHI)?,hh_beneficiary_cbhi,dk,0,1,refugee,,,select_one,Household
Is your household a beneficiary of community based health insurance (CBHI)?,hh_beneficiary_cbhi,dwta,0.01,2,refugee,,,select_one,Household
Is your household a beneficiary of community based health insurance (CBHI)?,hh_beneficiary_cbhi,no,0.71,144,refugee,,,select_one,Household
Is your household a beneficiary of community based health insurance (CBHI)?,hh_beneficiary_cbhi,yes,0.27,55,refugee,,,select_one,Household
Are there other (other than CBHI) ways of obtaining free health services?,hh_free_health_services,dk,0.03,6,refugee,,,select_one,Household
Are there other (other than CBHI) ways of obtaining free health services?,hh_free_health_services,dwta,0.01,2,refugee,,,select_one,Household
Are there other (other than CBHI) ways of obtaining free health services?,hh_free_health_services,no,0.77,156,refugee,,,select_one,Household
Are there other (other than CBHI) ways of obtaining free health services?,hh_free_health_services,yes,0.19,38,refugee,,,select_one,Household
Is there mental health care/treatment service available in your kebele?,mental_healthcare_service,dwta,0,1,refugee,,,select_one,Household
Is there mental health care/treatment service available in your kebele?,mental_healthcare_service,no,0.9,182,refugee,,,select_one,Household
Is there mental health care/treatment service available in your kebele?,mental_healthcare_service,yes,0.09,19,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty healthcare in your locality?,hh_healthcare_information_level,dwta,0.01,2,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty healthcare in your locality?,hh_healthcare_information_level,not_informed,0.03,6,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty healthcare in your locality?,hh_healthcare_information_level,somewhat_informed,0.18,36,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty healthcare in your locality?,hh_healthcare_information_level,well_informed,0.78,158,refugee,,,select_one,Household
Has your household required nutrition services in the past three months?,hh_required_nutrition_services,dk,0,1,refugee,,,select_one,Household
Has your household required nutrition services in the past three months?,hh_required_nutrition_services,no,0.4,81,refugee,,,select_one,Household
Has your household required nutrition services in the past three months?,hh_required_nutrition_services,yes,0.59,120,refugee,,,select_one,Household
"If yes, were you or the member(s) of your household able to obtain the required nutrition service from the nearest functional primary healthcare facility?",hh_required_nutrition_services_yes,no,0.68,81,refugee,,,select_one,Household
"If yes, were you or the member(s) of your household able to obtain the required nutrition service from the nearest functional primary healthcare facility?",hh_required_nutrition_services_yes,yes,0.32,39,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty eduction in your locality?,information_about_education_availability,not_informed,0.02,4,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty eduction in your locality?,information_about_education_availability,somewhat_informed,0.15,30,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty eduction in your locality?,information_about_education_availability,well_informed,0.83,168,refugee,,,select_one,Household
How do you receive information about eduction in your locality?,educ_information_reveived_way,community_leader,0.07,14,refugee,,,select_one,Household
How do you receive information about eduction in your locality?,educ_information_reveived_way,local_govt,0.7,137,refugee,,,select_one,Household
How do you receive information about eduction in your locality?,educ_information_reveived_way,other_community,0.23,46,refugee,,,select_one,Household
How would you like to receive information about eduction in your locality in the future?,educ_information_reveived_future,community_leader,0.07,15,refugee,,,select_one,Household
How would you like to receive information about eduction in your locality in the future?,educ_information_reveived_future,local_govt,0.67,136,refugee,,,select_one,Household
How would you like to receive information about eduction in your locality in the future?,educ_information_reveived_future,no_information,0.01,2,refugee,,,select_one,Household
How would you like to receive information about eduction in your locality in the future?,educ_information_reveived_future,other_community,0.24,49,refugee,,,select_one,Household
"If yes, has exposure to this hazard (flood) increased your need to access health, education or water and sanitation services?",exposed_to_flood_yes,no,0.11,9,refugee,,,select_one,Household
"If yes, has exposure to this hazard (flood) increased your need to access health, education or water and sanitation services?",exposed_to_flood_yes,yes,0.89,75,refugee,,,select_one,Household
"If yes, which ones?",flood_exposed_sector,health,0.15,11,refugee,,,select_multiple,Household
"If yes, which ones?",flood_exposed_sector,health wash,0.39,29,refugee,,,select_multiple,Household
"If yes, which ones?",flood_exposed_sector,wash,0.29,22,refugee,,,select_multiple,Household
"If yes, which ones?",flood_exposed_sector,wash health,0.17,13,refugee,,,select_multiple,Household
"If yes, has exposure to this hazard (drought) increased your need to access health, education or water and sanitation services?",exposed_to_drought_yes,dwta,0.02,2,refugee,,,select_one,Household
"If yes, has exposure to this hazard (drought) increased your need to access health, education or water and sanitation services?",exposed_to_drought_yes,no,0.27,35,refugee,,,select_one,Household
"If yes, has exposure to this hazard (drought) increased your need to access health, education or water and sanitation services?",exposed_to_drought_yes,yes,0.72,95,refugee,,,select_one,Household
"If yes, which ones?",drought_exposed_sector,health,0.18,17,refugee,,,select_multiple,Household
"If yes, which ones?",drought_exposed_sector,health wash,0.61,58,refugee,,,select_multiple,Household
"If yes, which ones?",drought_exposed_sector,wash,0.16,15,refugee,,,select_multiple,Household
"If yes, which ones?",drought_exposed_sector,wash health,0.05,5,refugee,,,select_multiple,Household
