Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.87,90,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.11,11,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.47,45,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.23,22,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.3,29,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.14,4,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.17,5,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.21,6,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,elsewhere_in_country,0.07,2,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.41,12,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,cost_of_living,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,education_reason,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.55,16,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.14,4,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.1,3,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,proximity_to_place_of_origin,0.07,2,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,reasons_reason,0.07,2,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.58,317,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.42,229,refugee,,,select_one,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1,229,refugee,,,integer,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.08,54,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0.01,5,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.78,535,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.14,95,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.04,27,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0.01,5,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.86,591,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.1,66,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.09,61,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,cannot_do_at_all,0.01,7,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.78,540,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.12,81,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,a_lot_of_difficulty,0.02,16,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,cannot_do_at_all,0.01,4,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,0.92,633,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,some_difficulty,0.05,36,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,a_lot_of_difficulty,0.03,19,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,cannot_do_at_all,0.01,5,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,no_difficulty,0.91,628,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,some_difficulty,0.05,37,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,a_lot_of_difficulty,0.01,6,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,cannot_do_at_all,0.01,4,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,no_difficulty,0.96,662,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,some_difficulty,0.02,17,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,borehole_manual,0,2,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,hand_pump,0.7,480,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,piped_into_dwelling,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,piped_system,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_spring,0,2,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_well,0.12,82,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_spring,0.16,108,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_well,0,2,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,water_kiosk,0.01,4,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,borehole_manual,0.01,5,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,borehole_motorized,0,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,hand_pump,0.62,422,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,piped_system,0,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_spring,0.01,10,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_well,0.07,51,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,river,0,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_spring,0.25,173,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_well,0.02,16,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,water_kiosk,0.01,5,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,in_own_dwelling,0,2,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,outside_the_kebele,0.01,5,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,within_kebele,0.99,682,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,above_31minutes,0.06,41,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,below_5minutes,0.15,100,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_16_and_30_minutes,0.25,175,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_5_and_15_minutes,0.54,369,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,dk,0,2,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,above_31minutes,0.83,570,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,below_5minutes,0.02,17,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_16_and_30_minutes,0.07,48,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_5_and_15_minutes,0.07,51,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,dk,0,1,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,community,0.98,672,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,dk,0,1,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,formalised_water_provider,0,2,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,health_facility,0.01,4,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,private_owner,0.01,5,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,school,0.01,4,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,no,0.05,32,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,partially,0.14,95,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,unable_to_confirm,0,1,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,yes,0.81,561,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_due_to_normal_usage,0.74,23,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_during_confilict,0.26,8,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,0_to_1month,0.4,51,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,2_to_3months,0.42,53,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,4_to_6months,0.03,4,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,6_monthsor_more,0.15,19,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dk,0,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dwta,0,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,none_hh_access_water,0.04,29,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,not_allowed_to_access_water,0.03,23,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_at_the_source_isnot_clean,0.13,90,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_disability,0,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_economic,0.01,4,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_idp,0,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_distance,0.06,43,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_waiting_times,0.4,274,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_violence,0,1,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_not_producing_water,0.01,10,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_physically_damaged,0.25,168,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_under_maintenance,0.05,36,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,dk,0,3,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,no,0.33,227,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,yes,0.67,459,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,dk,0,3,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,no,0.79,543,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,yes,0.21,143,refugee,,,select_one,Household
How many jerrycan (10L) are you allowed to get for your household in a day?,num_jerrycan_allowed,num_jerrycan_allowed,3.39,143,refugee,,,integer,Household
Do you or your household pay for water?,hh_water_payment,dk,0,1,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,no,0.23,159,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,yes,0.77,529,refugee,,,select_one,Household
"If yes, how much on average do you spend on water, per month?",hh_water_payment_amount,hh_water_payment_amount,20.24,529,refugee,,,integer,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,dk,0,3,refugee,,,select_one,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,no,0.8,551,refugee,,,select_one,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,yes,0.2,135,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,dwta,0,1,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,not_informed,0.39,269,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,somewhat_informed,0.14,95,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,well_informed,0.47,324,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_hh,0.49,338,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_idp,0,3,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_affordability_of_water,0.02,11,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_availability_of_water,0.16,111,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_functionality_ws,0.23,157,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_quality_of_water,0.1,67,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_accessibilty_for_hh,0.2,134,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_affordability_of_water,0.01,7,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_availability_of_water,0.2,135,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_functionality_ws,0.38,259,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_quality_of_water,0.22,148,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_hh,0.14,93,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_idp,0.01,5,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_affordability_of_water,0.03,21,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_availability_of_water,0.21,139,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_functionality_ws,0.23,153,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_quality_of_water,0.39,259,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_full_functional,0.33,2,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_partial_functional,0.67,4,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,within_the_kebele,1,6,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,30_minutes_1hour,0.17,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,dwta,0.17,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,less_than_30_minutes,0.67,4,refugee,,,select_one,Household
Who owns this health facility ?,health_post_owner,govt,1,6,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,dk,0.01,9,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_full_functional,0.21,127,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_partial_functional,0.78,476,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_in_zonal_town,0,2,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_within_woreda,0.03,19,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,outside_the_kebele,0.01,7,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,within_the_kebele,0.95,584,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,1hour_to_half_day,0.09,54,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,30_minutes_1hour,0.23,142,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,dwta,0.08,46,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,less_than_30_minutes,0.6,369,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,more_than_half_day,0,1,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,community,0.02,13,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,dk,0,1,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,govt,0.98,598,refugee,,,select_one,Household
Are any services currently operating from this facility (hospital)?,operating_hospital,yes_full_functional,0.63,43,refugee,,,select_one,Household
Are any services currently operating from this facility (hospital)?,operating_hospital,yes_partial_functional,0.37,25,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_in_zonal_town,0.68,46,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_outside_woreda,0.21,14,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_within_woreda,0.03,2,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,within_the_kebele,0.09,6,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,1hour_to_half_day,0.49,33,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,30_minutes_1hour,0.04,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,dwta,0.01,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,less_than_30_minutes,0.06,4,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,more_than_half_day,0.4,27,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,community,0.01,1,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,govt,0.93,63,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,private_owner,0.06,4,refugee,,,select_one,Household
Are any services currently operating from this facility (pharmacy)?,operating_pharmacy,yes_full_functional,0.75,3,refugee,,,select_one,Household
Are any services currently operating from this facility (pharmacy)?,operating_pharmacy,yes_partial_functional,0.25,1,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,far_from_the_kebele_in_zonal_town,0.5,2,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,far_from_the_kebele_outside_woreda,0.5,2,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,1hour_to_half_day,1,4,refugee,,,select_one,Household
Who owns this health facility ?,pharmacy_owner,govt,0.25,1,refugee,,,select_one,Household
Who owns this health facility ?,pharmacy_owner,private_owner,0.75,3,refugee,,,select_one,Household
Are any services currently operating from this facility (mobile clincs)?,operating_mobile_clinics,yes_full_functional,1,1,refugee,,,select_one,Household
Where is this health facility located?,mobile_clinics_location,within_the_kebele,1,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_mobile_clinics,less_than_30_minutes,1,1,refugee,,,select_one,Household
Who owns this health facility ?,mobile_clinics_owner,ngo,1,1,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,dk,0.49,17,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,no,0.09,3,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,yes_full_functional,0.17,6,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,yes_partial_functional,0.26,9,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,dk,0.23,6,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,far_from_the_kebele_in_zonal_town,0.04,1,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,far_from_the_kebele_within_woreda,0.04,1,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,within_the_kebele,0.69,18,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,1hour_to_half_day,0.09,3,refugee,,,select_one,Household
